id;lugar;frecuencia;agradable;3 La iluminacion le permite:;4 La calidad de la iluminacion;5 Identificar�a situaci�n de peligro?;6 Las caracteristicas de la zona:;7a Ser Vista;7b Ser Escuchada;8 Cantidad de personas le generan:;9 Zona segura si hay presencia de:;10 Los andenes le permiten:;11 Calidad de andenes le genera:;12 Medio de transporte que utiliza;13 Que sensaci�n experimenta en TP?;14 Tiempo entre paradero y su casa;15a Demasiadas personas dentro del TP;15b Muy pocas personas dentro del TP;15c Ventas informales en el TP;15d Caminata hacia el paradero;15e Condiciones de espera del TP;15f Alg�n desconocido quiere hablar;15g Viajar sola, sin compa��a;15h Viajar con ni�@ o ancian@;15i Viajar de noche;16 Hora que considera insegura;16a Hora militar;17a Primera Opci�n;17b Segunda Opci�n;17c Tercera Opci�n;18b Hombres;18a Mujeres;18c Ni�as y Ni�os;Personas;D1 Edad;D2 Actividad Principal;D3 Escolaridad;D4 Autoreconocimineto;D5 Discapacidad;D6 Identidad de g�nero;D7 Orientaci�n sexual;D8 Localidad;D9 Estrato
1;156;1;2;2;4;2;5;2;2;2;1;1;3;1;5;5;2;1;1;2;1;1;2;1;1;1;17:00;3;4;10;2;1;2;3;39;1;8;6;8;2;1;20;3
2;156;1;2;3;2;2;1;1;2;3;2;2;1;1;1;3;1;2;1;2;2;1;2;1;2;1;24:00;3;5;8;1;2;3;1;23;2;6;5;8;2;2;19;2
3;156;1;1;3;1;2;5;1;1;1;1;1;5;1;2;4;1;1;1;1;1;2;1;1;1;3;88;1;3;6;1;1;2;3;68;5;3;7;8;2;1;10;2
4;156;1;2;2;3;3;1;2;2;1;3;1;6;1;3;4;2;1;1;1;1;1;1;1;1;1;17:00;3;6;10;2;1;3;2;23;4;8;8;8;2;1;20;1
5;156;1;2;2;5;2;2;2;1;3;3;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1;21:00;3;5;10;1;1;2;3;24;1;8;7;8;2;1;7;2
6;156;1;4;1;4;2;5;1;1;1;1;2;4;3;1;5;1;1;2;1;1;1;1;2;1;1;22:00;3;5;6;1;1;2;3;26;2;7;7;8;2;1;10;4
7;156;3;4;2;1;3;3;1;1;4;1;2;3;6;1;1;1;2;1;1;2;2;2;2;1;3;88;2;5;6;1;1;1;3;53;1;8;7;8;2;1;13;4
8;156;3;2;1;5;2;1;2;2;7;3;1;1;1;1;2;1;1;1;1;2;1;2;2;1;1;20:00;3;5;10;2;1;3;2;24;1;8;6;8;2;1;14;3
9;156;2;2;4;5;3;5;2;1;5;3;1;3;1;7;3;2;1;2;1;1;1;1;1;1;1;18:00;2;4;6;1;2;2;2;19;2;7;7;8;2;1;11;4
10;156;1;2;2;2;2;2;2;1;2;1;1;6;1;11;1;1;1;1;1;2;1;2;1;2;1;22:00;3;5;8;1;1;2;3;43;1;6;6;8;2;1;4;3
